srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,system1rank,system2rank
NCM,NCM,80,-1,80,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,81,-1,81,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,81,-1,81,A37NFLYNUZQ0QS,-1,5,-1,36,1,2
NCM,NCM,81,-1,81,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,82,-1,82,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,82,-1,82,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,82,-1,82,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,83,-1,83,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,83,-1,83,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,83,-1,83,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,84,-1,84,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,84,-1,84,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,84,-1,84,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,85,-1,85,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,85,-1,85,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,85,-1,85,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,86,-1,86,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,86,-1,86,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,86,-1,86,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,87,-1,87,A1MADOOBMC9QWI,-1,5,-1,36,2,1
NCM,NCM,87,-1,87,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,87,-1,87,A1WAWEY2810TFN,-1,5,-1,36,2,1
NCM,NCM,88,-1,88,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,88,-1,88,APKO12PP5J5LW,-1,5,-1,36,1,1
NCM,NCM,88,-1,88,A1WAWEY2810TFN,-1,5,-1,36,1,1
NCM,NCM,89,-1,89,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,89,-1,89,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,89,-1,89,A28QUR0QYD2WI7,-1,5,-1,36,2,1
NCM,NCM,90,-1,90,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,90,-1,90,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,90,-1,90,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,91,-1,91,APKO12PP5J5LW,-1,5,-1,36,1,2
NCM,NCM,91,-1,91,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,91,-1,91,A28QUR0QYD2WI7,-1,5,-1,36,2,1
NCM,NCM,92,-1,92,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,92,-1,92,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,92,-1,92,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,93,-1,93,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,93,-1,93,A1OSNZPSG3HP9I,-1,5,-1,36,1,1
NCM,NCM,93,-1,93,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,94,-1,94,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,94,-1,94,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,94,-1,94,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,95,-1,95,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,95,-1,95,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,95,-1,95,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,96,-1,96,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,96,-1,96,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,96,-1,96,A20NUGCPGHLZGD,-1,5,-1,36,1,2
NCM,NCM,97,-1,97,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,97,-1,97,A1SCNBV5UPXZO1,-1,5,-1,36,1,2
NCM,NCM,97,-1,97,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,98,-1,98,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,98,-1,98,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,98,-1,98,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,99,-1,99,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,99,-1,99,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,99,-1,99,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,100,-1,100,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,100,-1,100,A1OSNZPSG3HP9I,-1,5,-1,36,2,1
NCM,NCM,100,-1,100,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,101,-1,101,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,101,-1,101,AMMUQ5FYIZ1GQ,-1,5,-1,36,2,1
NCM,NCM,101,-1,101,A20NUGCPGHLZGD,-1,5,-1,36,1,1
NCM,NCM,102,-1,102,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,102,-1,102,A2EC3L6VH2WTKF,-1,5,-1,36,2,1
NCM,NCM,102,-1,102,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,103,-1,103,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,103,-1,103,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,103,-1,103,A20NUGCPGHLZGD,-1,5,-1,36,2,1
NCM,NCM,104,-1,104,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,104,-1,104,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,104,-1,104,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,105,-1,105,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,105,-1,105,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,105,-1,105,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,106,-1,106,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,106,-1,106,AMMUQ5FYIZ1GQ,-1,5,-1,36,2,1
NCM,NCM,106,-1,106,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,107,-1,107,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,107,-1,107,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,107,-1,107,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,108,-1,108,AJ1VZT72SEBR1,-1,5,-1,36,2,1
NCM,NCM,108,-1,108,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,108,-1,108,A20NUGCPGHLZGD,-1,5,-1,36,1,1
NCM,NCM,109,-1,109,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,109,-1,109,APKO12PP5J5LW,-1,5,-1,36,2,1
NCM,NCM,109,-1,109,A20NUGCPGHLZGD,-1,5,-1,36,2,1
NCM,NCM,110,-1,110,A39XF45WLMIGX2,-1,5,-1,36,1,1
NCM,NCM,110,-1,110,A1DXYZ9EW2R6DT,-1,5,-1,36,2,1
NCM,NCM,110,-1,110,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,111,-1,111,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,111,-1,111,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,111,-1,111,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,112,-1,112,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,112,-1,112,A1DXYZ9EW2R6DT,-1,5,-1,36,1,2
NCM,NCM,112,-1,112,ADJMZSRMFT3RG,-1,5,-1,36,2,1
NCM,NCM,113,-1,113,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,113,-1,113,APKO12PP5J5LW,-1,5,-1,36,1,2
NCM,NCM,113,-1,113,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,114,-1,114,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,114,-1,114,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,114,-1,114,A1DXYZ9EW2R6DT,-1,5,-1,36,1,1
NCM,NCM,115,-1,115,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,115,-1,115,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,115,-1,115,A35CL66BEUSJ5Z,-1,5,-1,36,1,1
NCM,NCM,116,-1,116,APKO12PP5J5LW,-1,5,-1,36,1,2
NCM,NCM,116,-1,116,A37NFLYNUZQ0QS,-1,5,-1,36,2,1
NCM,NCM,116,-1,116,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,117,-1,117,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,117,-1,117,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,117,-1,117,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,118,-1,118,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,118,-1,118,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,118,-1,118,A28QUR0QYD2WI7,-1,5,-1,36,1,2
NCM,NCM,119,-1,119,A1MADOOBMC9QWI,-1,5,-1,36,2,1
NCM,NCM,119,-1,119,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,119,-1,119,ADJMZSRMFT3RG,-1,5,-1,36,1,2
NCM,NCM,120,-1,120,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,120,-1,120,A35CL66BEUSJ5Z,-1,5,-1,36,2,1
NCM,NCM,120,-1,120,AJ1VZT72SEBR1,-1,5,-1,36,1,2
NCM,NCM,121,-1,121,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,121,-1,121,A24P3PZ3IY336C,-1,5,-1,36,1,2
NCM,NCM,121,-1,121,A24P3PZ3IY336C,-1,5,-1,36,1,1
NCM,NCM,122,-1,122,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,122,-1,122,A1SCNBV5UPXZO1,-1,5,-1,36,2,1
NCM,NCM,122,-1,122,A24P3PZ3IY336C,-1,5,-1,36,2,1
NCM,NCM,123,-1,123,A39XF45WLMIGX2,-1,5,-1,36,2,1
NCM,NCM,123,-1,123,A35CL66BEUSJ5Z,-1,5,-1,36,1,2
NCM,NCM,123,-1,123,A1OSNZPSG3HP9I,-1,5,-1,36,1,2
NCM,NCM,124,-1,124,A39XF45WLMIGX2,-1,5,-1,36,1,2
NCM,NCM,124,-1,124,A3F1EX5JHQN5D4,-1,5,-1,36,2,1
NCM,NCM,124,-1,124,A2EC3L6VH2WTKF,-1,5,-1,36,1,2
NCM,NCM,125,-1,125,A3F1EX5JHQN5D4,-1,5,-1,36,1,2
NCM,NCM,125,-1,125,A37NFLYNUZQ0QS,-1,5,-1,36,1,2
NCM,NCM,125,-1,125,A39XF45WLMIGX2,-1,5,-1,36,2,1
